начало,конец,tier,text
1263.721,1264.567,слово,мегафóн
1264.036,1264.149,предударный,а
1264.337,1264.483,ударный,о закр
1267.206,1267.755,слово,мегафóн
1267.374,1267.473,предударный,а-ъ
1267.628,1267.694,ударный,о закр
1272.26,1272.97,слово,мегафóн
1272.458,1272.564,предударный,а-ъ
1272.742,1272.876,ударный,о закр
1274.331,1275.081,слово,граммофóн
1274.627,1274.709,предударный,а
1274.881,1275,ударный,о закр
1279.551,1280.242,слово,граммофóн
1279.832,1279.906,предударный,а
1280.047,1280.168,ударный,о закр
1284.105,1284.78,слово,граммофóн
1284.359,1284.442,предударный,а
1284.568,1284.662,ударный,о закр
1285.806,1286.587,слово,диктофóн
1286.12,1286.214,предударный,а-ъ
1286.378,1286.492,ударный,о закр
1288.819,1289.639,слово,диктофóнами (с)
1289.122,1289.187,предударный,ъ
1289.317,1289.392,ударный,о закр
1295.316,1295.974,слово,микрофóн
1295.56,1295.66,предударный,а-ъ
1295.794,1295.906,ударный,о закр
1323.276,1323.992,слово,микрофóн
1323.549,1323.654,предударный,а
1323.764,1323.913,ударный,о закр
1328.595,1329.177,слово,микрофóн
1328.817,1328.915,предударный,а-ъ
1329.024,1329.116,ударный,о закр
1330.51,1331.168,слово,микрофóн
1330.748,1330.828,предударный,а
1330.952,1331.085,ударный,о закр
1338.024,1338.71,слово,микрофóн
1338.258,1338.36,предударный,а-ъ
1338.504,1338.604,ударный,о закр
1340.703,1341.346,слово,микрофóн
1340.949,1341.02,предударный,а
1341.161,1341.273,ударный,о закр
1345.128,1345.756,слово,микрофóн
1345.355,1345.453,предударный,а-ъ
1345.567,1345.682,ударный,о закр
1352.239,1352.865,слово,микрофóн
1352.493,1352.582,предударный,а-ъ
1352.694,1352.783,ударный,о закр
1355.178,1355.796,слово,микрофóн
1355.423,1355.514,предударный,а
1355.636,1355.718,ударный,о закр
1359.572,1360.161,слово,микрофóн
1359.816,1359.895,предударный,а
1359.999,1360.077,ударный,о закр
1371.972,1372.511,слово,колóнна
1372.027,1372.108,предударный,а
1372.206,1372.334,ударный,о закр
1376.74,1377.419,слово,колóннами
1376.784,1376.88,предударный,а
1376.964,1377.075,ударный,о закр
1387.27,1387.882,слово,контóра
1387.32,1387.403,предударный,а
1387.586,1387.751,ударный,о закр
1391.148,1391.731,слово,контóра
1391.208,1391.284,предударный,а
1391.453,1391.585,ударный,о закр
1394.527,1395.132,слово,контóра
1394.577,1394.657,предударный,а-ъ
1394.832,1394.952,ударный,о закр
1397.909,1398.342,слово,контóр
1397.971,1398.043,предударный,а
1398.206,1398.313,ударный,о закр
1403.047,1403.565,слово,контóра
1403.096,1403.169,предударный,а-ъ
1403.329,1403.437,ударный,о закр
1405.301,1405.885,слово,почтальóн
1405.564,1405.624,предударный,ъ
1405.742,1405.823,ударный,о откр
1416.736,1417.551,слово,почтальóнка
1417.01,1417.064,предударный,ъ
1417.192,1417.273,ударный,о лит
1420.743,1421.634,слово,почтальóнка
1421.005,1421.072,предударный,ъ
1421.227,1421.325,ударный,о откр
1426.838,1427.771,слово,почтальóнку
1427.099,1427.172,предударный,ъ
1427.338,1427.422,ударный,о откр
1428.4,1429.148,слово,почтальóна
1428.651,1428.711,предударный,ъ
1428.891,1428.983,ударный,о откр
1433.146,1433.937,слово,почтальóнку
1433.379,1433.438,предударный,ъ
1433.592,1433.668,ударный,о откр
1437.673,1438.286,слово,почтальóн
1437.934,1437.992,предударный,ъ
1438.143,1438.208,ударный,о откр
1438.328,1438.74,слово,прогнóз
1438.387,1438.473,предударный,а
1438.613,1438.654,ударный,о закр
1440.984,1441.406,слово,прогнóз
1441.061,1441.133,предударный,а-ъ
1441.274,1441.325,ударный,о лит
1446.908,1447.313,слово,прогнóз
1446.974,1447.089,предударный,а
1447.185,1447.257,ударный,о лит
1451.785,1452.168,слово,прогнóз
1451.862,1451.937,предударный,а-ъ
1452.043,1452.097,ударный,о закр
1469.841,1470.917,слово,фарфóровая
1469.981,1470.107,предударный,а-ъ
1470.296,1470.411,ударный,о закр
1484.664,1485.636,слово,фарфóровая
1484.787,1484.885,предударный,ъ
1485.06,1485.15,ударный,о закр
1499.763,1500.349,слово,фарфóр
1499.883,1499.968,предударный,ъ
1500.161,1500.27,ударный,о закр
1500.583,1501.203,слово,поролóн
1500.719,1500.858,предударный,а-ъ
1500.947,1501.087,ударный,о закр
1502.678,1503.142,слово,поролóн
1502.84,1502.928,предударный,а-ъ
1502.986,1503.054,ударный,о лит
1636.993,1637.512,слово,поролóн
1637.108,1637.232,предударный,а-ъ
1637.315,1637.432,ударный,о закр
1639.388,1639.989,слово,поролóны
1639.479,1639.618,предударный,а
1639.713,1639.83,ударный,о закр
1653.808,1654.342,слово,дракóн
1653.899,1654.016,предударный,а-ъ
1654.147,1654.273,ударный,о закр
1656.123,1656.647,слово,дракóн
1656.205,1656.296,предударный,а-ъ
1656.44,1656.545,ударный,о закр
1662.566,1663.248,слово,драконóв
1662.658,1662.765,предударный,ъ
1662.911,1663.003,ударный,о закр
1674.015,1674.67,слово,макдóнальдс
1674.069,1674.117,предударный,ъ
1674.287,1674.386,ударный,о лит
1712.157,1712.84,слово,аэропóрт
1712.342,1712.397,предударный,ъ
1712.529,1712.622,ударный,о закр
1713.532,1714.205,слово,аэропóрт
1713.686,1713.736,предударный,ъ
1713.863,1713.972,ударный,о закр
1716.229,1717.136,слово,калейдоскóп
1716.59,1716.657,предударный,ъ
1716.878,1716.975,ударный,о откр
1739.105,1739.779,слово,гороскóп
1739.31,1739.388,предударный,ъ
1739.596,1739.7,ударный,о закр
1742.554,1743.25,слово,калейдоскóп
1742.81,1742.86,предударный,ъ
1743.042,1743.094,ударный,о закр
1745.006,1745.872,слово,калейдоскóп
1745.355,1745.434,предударный,ъ
1745.635,1745.721,ударный,о откр
1746.924,1747.567,слово,гороскóп
1747.047,1747.128,предударный,а-ъ
1747.328,1747.428,ударный,о откр
1751.961,1752.611,слово,гороскóп
1752.105,1752.168,предударный,ъ
1752.375,1752.479,ударный,о откр
1761.919,1762.829,слово,микроскóп
1762.274,1762.343,предударный,ъ
1762.561,1762.679,ударный,о откр
1806.108,1806.899,слово,семафóр
1806.387,1806.49,предударный,а
1806.655,1806.769,ударный,о закр
1812.696,1813.294,слово,семафóр
1812.943,1813.023,предударный,ъ
1813.146,1813.245,ударный,о закр
